cantonese,english,greedy,beam
呢啲資料未必可靠。,It is questionable whether this data can be relied on.,Les données ne sont pas forcément fiables.,Os dados não são necessariamente confiáveis.
呢首詩原本係用法文寫嘅。,This poem was originally written in French.,Бұл тек тек қанағаттанды.,Әдебiкiнiмiзiпiшiгiтiрiң нiсiлiдi.
張紙大得濟，擺唔落個信封度。,The paper is too big for the envelope.,"Қайтаққа қанақтар, қалыққшалық қаналақ.",Қазіргі уақытта бір-бірілген қағидалар мен құндылықтары не айтылады.
你最近唔係好似你。,You don't seem to be yourself these days.,Vous n’êtes pas comme vous récemment.,Vous n’êtes pas comme vous récemment.
呢道門點鎖都鎖唔到。,This door won't lock.,Қазір қазір кірілген қаптасы бар.,Қазіргі уақытта бір-қатынас келдім.
呢座建築物就起完㗎喇。,This building is near completion.,Bu da bu il il təhrizə bitirir.,İnşaatın tamamlanması ilə bağlıdır.
啲座建築物喺威尼斯嘅眾多名勝之一。,This building is one of the many glories of Venice.,Бұл да салықты өнерінің бір-бірімен таныстырылған.,ҚазАқпарат – «Жеңізде» өңдеуге қарастырылған.
呢隻襪穿咗個窿。,There's a hole in this sock.,Бұл қағидалар мен қаһарманға да бар.,Қаланың тұрақты тұрғындарының саны.
呢段音樂令我又想起嗰個女仔。,This music reminds me of that girl.,Бұл музыканың ең айқын көргенде.,La musique me rappelle encore une fois les femmes.
喺條咁急嘅急流裏面游水，一定會好危險㗎。,It must be dangerous to swim in this rapid stream.,"Бұл жерде жарыққа да салыстыр, бұл жерге жастыратын.",Қазіргі уақытта өңдеуге қарастырып келдім.
呢部機重得濟喇，我拎唔郁。,This machine is too heavy for me to carry.,"Қайтаққа қанақ, мен қаныққ қалың.","Қандай-ақ, менің қағидалар мен жасайды."
呢部機好易用。,This machine is easy to handle.,Бұл машинасы өте көп.,Қазіргі уақытта машинасы бар.
你識唔識得用呢部機呀？,Do you know how to use this machine?,Бұл қазір қандай мақалалар бар?,Ауымда да не айтылады?
呢間學校女仔多過男仔。,There are more girls than boys in this school.,Школада жарықшалықтары мен жақтарлықты.,Школының дағдырысы бар.
我做完功課，想瞓陣覺，但係又要返學⋯⋯,"Now that I have finished this assignment I want to go to sleep, but I have to go to school.","Менің бірінші сүйікті жарыққа, менің тіпті, Менге көнеміз.","Tôi đã hoàn thành công việc, muốn chắc chắn trấn an, nhưng nhân viên lại phải trở lại trường."
呢朵花係黃色嘅，但係其他嗰啲全部都係藍色嘅。,"This flower is yellow, but all the others are blue.",Бұл қазір мен қаңтар мен жастарды қалады.,"Өзiмiкiздiгiлiнiшiрiпiсiтiңi,i.e."
呢首歌令我諗返起我細個嗰陣啲嘢。,This song reminds me of my childhood.,Менің қазір менің тіпті қанаққалымыз.,"Содан соң, облыс әкімі менің дебаттардан тұрады."
呢間屋要維修吓喇。,This house must be done up.,Қазір қайтарып келдім.,Қаланың тұрақты тұрғындарының саны.
呢間屋係我嘅。,This house is mine.,Менің қазір менің жарық.,Қазіргі уақытта қайтарып.
我今個夏天諗住踩單車環遊歐洲。,I'll travel across Europe by bicycle this summer.,"Бұл жылдан кейін, біз Еуропаға ескеп келдім.",Jag har varit med om att åka en bil runt om i Europa i sommar.
呢支鉛筆有幾長呀？,How long is this pencil?,- Cút có bao nhiêu chiều?,鉛筆の長さは?
我覺得呢套戲值得一睇再睇。,I think it is worthwhile to see this film twice.,Бұл қазір мен қағидалар мен жарықтар мен қарап тұрады.,Je pense que le spectacle vaut la peine de revoir.
我想問吓修理呢張凳要幾多錢呀？,What would it cost to have this chair repaired?,Қаншама қазір мен қауымда қағалатын келдім?,Tôi muốn hỏi khủng khiếp sửa chữa? 張凳 cần bao nhiêu tiền?
呢粒蘋果好酸。,This apple tastes sour.,Бұл оларды өтіріп келді.,Өзiмiкiнiң өтуiпiшiлi.
呢部收音機幾多錢呀？,What is the price of this radio?,Radio có bao nhiêu tiền?,Combien coûte la radio ?
好似咁嘅錯誤好容易被忽略㗎。,Mistakes like these are easily overlooked.,Бұл қағидалар мен қаһарманның қабығылармен таныстырылған.,Kesilapan seperti ini sangat mudah diabaikan.
呢架小巴可以坐到廿五個人。,This minibus holds 25 persons.,Қазіргі таңда 25 адамға дейін бас тазады.,Қаланың тұрақты тұрғындарының саны 25 адам.
呢間酒店裝得落一千人。,This hotel has accommodations for 1000 guests.,Олардың ішіндегі 1000 адамға дейін.,Oteldə 1000 nəfər qalıb.
呢支原子筆我買咗兩蚊。,I bought this ball-point for two dollars.,"Ақықтық, ол екі атомдық кереметге көреп отыр.",Өзiмдiкiнiгiшiлiпiңiз дiрiсi.
呢支筆係我㗎。,This pen belongs to me.,Менің қазір мен қасым.,Ауымда қасиетті.
你想用呢支筆，我就借俾你啦。,"If you want this pen, I will lend it to you.","Si tu veux faire un billet, je te prends en prêt.","Si vous voulez l'utiliser, je vous prête."
呢塊牛扒好香。,This beefsteak smells good.,Бұл қағидалар мен қаһарманға болады.,Өзiмдiкiнiң бiрiлiпiшiгi.
呢間舖頭啲漢堡包好味過嗰間嗰啲。,This store's hamburgers taste better than that one's.,Бұл үшін бір жылдан кейін бір-бірімен бірқатар бір рет жетеді.,Қазіргі уақытта «Аль-Каида» АҚ-ның бір-қатынас табылды.
呢支玫瑰好靚呀。,This rose is very beautiful.,Бұл розы бар.,Өйткені розы бар.
呢架巴士載到五十個人。,This bus can hold fifty people.,Bu yolda 50 nəfər yolcuya ulaşır.,Автобус вмещает 50 человек.
呢啲睡衣好吸汗。,These pajamas absorb sweat well.,"Бұл үшін бірақ, салықты жарыққа ұлы.",Sängkläder är bra att svettas.
唔該你裝啲水落呢個桶度吖。,Please fill this bucket with water.,Қазір бұл жерде де ұрпаққа да бар.,Қазіргі уақытта бас табылды.
呢個桶穿咗個窿。,There's a hole in this bucket.,Бұл да салықты ұзақ уақытқа дейін.,Қазіргі уақытта өңдеуге қарастырылған.
呢啲黏液可以當膠水用。,This sticky liquid can be substituted for glue.,Бұл да салыстырды да бар.,Қазіргі уақытта өңдеуге қарастырады.
呢條呔幾多錢呀？,How much is this tie?,Қаншама қандай қана?,Combien d’argent ça fait ?
呢把刀好利。,This knife cuts well.,刀を好む。,ナイフは良いです。
嗰條裙睇落好似好貴噉。,That dress seems to be very expensive.,Бұл қазір мен қаңтар мен жарыққа қазанды.,Қазіргі уақытта өңдеуге қарастырылған.
呢張枱同我哋屋企嗰張一樣大。,This table is just as large as ours.,Өзiмiңiздiкiнiшiгiпiлiрiсiтiiддттei,"Қандай-ақ, бізге қағидалар мен салыстырды."
呢張梳化幾多錢呀？,How much is this sofa?,Қандай кешiң кеше?,Berapa banyak uang yang harus dipotong?
有人喺呢張梳化度瞓過。,Somebody has been sleeping on this sofa.,Бұл қағидалар мен қаһарманның қаңтармен таныстырылған.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
呢間游水學校每個月要俾幾多學費㗎？,How much is the monthly fee of this swimming school?,Berapa biaya kuliah yang harus dibayar setiap bulan?,Berapa banyak biaya kuliah yang harus dibayar setiap bulan?
你話兜啫喱凝咗未吖嗱？,Do you think this jelly's firm enough to eat yet?,Әдеп кешiңiмiнiкiзiштiпiгiлiттeiдi?,Қазіргі уақытта өңдеуге қарап отырмыз?
呢件外套無衫袋㗎。,This coat hasn't pockets.,"Бұл бірақ, білмейді білесі.",シャツなしのバッグ。
呢隻蛋糕真係冇啲人講到咁好食囉。,This cake doesn't really live up to its reputation.,Бұл қағидалар мен қаһарманның тұрады.,Өзiмдiкiнiң өтуiпiшiлiгiттiз кiсiрi.
呢條規則唔係幾時都啱用㗎。,This rule doesn't apply to every case.,Бұл үшін бір-бірімен бір рет жесек жетеді.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
呢部相機冇嗰部咁貴。,This camera is less expensive than that one.,Бұл камерасы көшіруге болады.,Қазіргі уақытта камералық.
